2024-08-14 17:00:57 [app] info: Method: GET, URL: /api/brands/name/BYD, IP: ::1
2024-08-14 17:01:47 [app] info: Method: GET, URL: /api/brands/name/byd, IP: ::1
2024-08-14 17:02:31 [app] info: Method: GET, URL: /api/brands/name/mitzubishi, IP: ::1
2024-08-14 17:02:49 [app] info: Method: GET, URL: /api/brands/name/mitsubishi, IP: ::1
2024-08-14 17:04:16 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:10:06 [app] info: Method: GET, URL: /api/brands, IP: ::1
2024-08-14 17:13:24 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::1
2024-08-14 17:13:44 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::1
2024-08-14 17:14:23 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::1
2024-08-14 17:20:12 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::1
2024-08-14 17:20:22 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::1
2024-08-14 17:20:56 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::1
2024-08-14 17:25:17 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:44 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:44 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:45 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:45 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:45 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:45 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:45 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:45 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:46 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:46 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:46 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:46 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:46 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:46 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:47 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:47 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:47 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:53 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:55 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:56 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:57 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:57 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:58 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:27:58 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:28:06 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:28:07 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:28:07 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:28:08 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:37:10 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-14 17:37:10 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 17:37:41 [app] info: Method: GET, URL: /api-docs, IP: ::1
2024-08-14 17:37:41 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 17:39:44 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-14 17:39:56 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-14 17:39:56 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 17:40:00 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-14 17:40:00 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 17:40:18 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-14 17:40:18 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-14 17:40:18 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-14 17:40:18 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-14 17:40:18 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-14 17:40:18 [app] info: Method: GET, URL: /api-docs/swagger-ui.css.map, IP: ::1
2024-08-14 17:41:53 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-14 17:41:53 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-14 17:41:53 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-14 17:41:53 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-14 17:41:53 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-14 17:41:53 [app] info: Method: GET, URL: /api-docs/swagger-ui.css.map, IP: ::1
2024-08-14 17:42:07 [app] info: Method: GET, URL: /api/brands/name/BYD, IP: ::1
2024-08-14 17:42:42 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::1
2024-08-14 17:45:21 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:45:52 [app] info: Method: GET, URL: /api/brands/275, IP: ::1
2024-08-14 17:46:21 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::1
2024-08-14 17:46:45 [app] info: Method: GET, URL: /api/brands/name/BYD, IP: ::1
2024-08-15 08:49:09 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 08:49:09 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 08:49:09 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-15 08:49:09 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 08:49:09 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:03:06 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 09:03:06 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 09:03:06 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-15 09:03:06 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 09:03:06 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:03:06 [app] info: Method: GET, URL: /api-docs/favicon-16x16.png, IP: ::1
2024-08-15 09:03:23 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 09:03:23 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-15 09:03:23 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 09:03:23 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 09:03:23 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:04:42 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 09:04:42 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 09:04:42 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-15 09:04:42 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 09:04:42 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:07:02 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 09:07:02 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-15 09:07:02 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-15 09:07:02 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-15 09:07:02 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-15 09:07:26 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-15 09:07:26 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
